epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4136.01,0.90799,0.57563,1.26856,0.97439,0.92911,0.97338,0.65758,1.02733,0.50074,1.14527,0.000453258,0.000453258,0.000453258
82,4186.83,0.89623,0.58898,1.27287,0.93358,0.92911,0.96344,0.61739,1.13992,0.54489,1.22867,0.00044296,0.00044296,0.00044296
83,4237.35,0.89618,0.59812,1.285,0.9349,0.94177,0.97278,0.63311,1.11523,0.5084,1.21135,0.000432689,0.000432689,0.000432689
84,4287.86,0.91421,0.59693,1.27508,0.96565,0.92523,0.97289,0.64286,1.07036,0.52166,1.18179,0.000422449,0.000422449,0.000422449
85,4338.57,0.91747,0.60945,1.29291,0.93532,0.91527,0.96798,0.5967,1.19473,0.55127,1.27535,0.000412246,0.000412246,0.000412246
86,4389.22,0.89849,0.59804,1.27628,0.93232,0.93418,0.96286,0.62973,1.09036,0.52354,1.16106,0.000402084,0.000402084,0.000402084
87,4439.88,0.86293,0.57865,1.25482,0.93038,0.92152,0.9666,0.67092,0.97509,0.50818,1.11172,0.000391966,0.000391966,0.000391966
88,4490.81,0.89188,0.57273,1.25782,0.95758,0.91392,0.97373,0.64808,1.05311,0.51025,1.14304,0.000381899,0.000381899,0.000381899
89,4541.43,0.91867,0.61081,1.29761,0.93493,0.92658,0.96145,0.64635,1.03556,0.5189,1.12931,0.000371885,0.000371885,0.000371885
90,4592.14,0.88242,0.58265,1.26066,0.94966,0.91646,0.96563,0.59271,1.1945,0.54381,1.268,0.000361929,0.000361929,0.000361929
91,4642.77,0.86894,0.55653,1.24955,0.95312,0.92643,0.96899,0.62821,1.12472,0.50604,1.18452,0.000352037,0.000352037,0.000352037
92,4693.63,0.85276,0.54366,1.23716,0.93679,0.92152,0.96398,0.59734,1.17145,0.51621,1.21096,0.000342211,0.000342211,0.000342211
93,4743.94,0.86918,0.57108,1.24172,0.93801,0.91931,0.95784,0.64424,1.03816,0.50467,1.12609,0.000332457,0.000332457,0.000332457
94,4794.84,0.83012,0.54651,1.23757,0.95043,0.92233,0.96183,0.64522,1.05597,0.49557,1.1481,0.000322778,0.000322778,0.000322778
95,4845.34,0.87856,0.56222,1.26192,0.89689,0.92485,0.94178,0.64189,1.03287,0.50609,1.14675,0.00031318,0.00031318,0.00031318
96,4895.95,0.815,0.53509,1.21921,0.94742,0.93418,0.96599,0.65696,1.01739,0.51041,1.16191,0.000303665,0.000303665,0.000303665
97,4946.51,0.89728,0.57831,1.26923,0.91693,0.91646,0.94978,0.60736,1.09998,0.53927,1.19393,0.000294239,0.000294239,0.000294239
98,4996.98,0.87331,0.55041,1.25275,0.94962,0.92152,0.96996,0.63828,1.05264,0.49686,1.1509,0.000284906,0.000284906,0.000284906
99,5047.6,0.85634,0.54792,1.2322,0.96191,0.91646,0.9633,0.67194,0.99895,0.47939,1.13431,0.000275668,0.000275668,0.000275668
100,5098.31,0.84382,0.54189,1.23927,0.9391,0.93698,0.96371,0.66274,1.02446,0.48776,1.14576,0.000266532,0.000266532,0.000266532
101,5148.91,0.81527,0.52287,1.21299,0.94993,0.9038,0.95401,0.62832,1.10303,0.52564,1.17548,0.0002575,0.0002575,0.0002575
102,5199.55,0.83025,0.53734,1.2193,0.95059,0.92532,0.97448,0.61049,1.16282,0.52307,1.22522,0.000248577,0.000248577,0.000248577
103,5250.41,0.84235,0.53928,1.22707,0.93499,0.91139,0.96378,0.64474,1.06857,0.53685,1.16499,0.000239766,0.000239766,0.000239766
104,5301.22,0.81977,0.54093,1.22802,0.94635,0.92658,0.97113,0.65818,1.02779,0.4945,1.1456,0.000231071,0.000231071,0.000231071
105,5351.96,0.8474,0.55489,1.24045,0.95134,0.9404,0.9745,0.62455,1.0943,0.50909,1.19089,0.000222497,0.000222497,0.000222497
106,5402.52,0.82539,0.52986,1.22327,0.94884,0.93899,0.96866,0.62026,1.11406,0.52558,1.2114,0.000214046,0.000214046,0.000214046
107,5453.13,0.82141,0.52418,1.21897,0.95509,0.93924,0.97725,0.65821,1.05288,0.49199,1.16059,0.000205723,0.000205723,0.000205723
108,5503.71,0.82867,0.53612,1.23902,0.95111,0.93586,0.9689,0.63462,1.10016,0.49668,1.20473,0.000197532,0.000197532,0.000197532
109,5554.29,0.82,0.51977,1.21033,0.96202,0.89784,0.96344,0.64637,1.04965,0.494,1.18325,0.000189475,0.000189475,0.000189475
110,5605.13,0.80652,0.5169,1.19588,0.95899,0.92911,0.97989,0.66726,1.00848,0.47246,1.13646,0.000181557,0.000181557,0.000181557
111,5655.79,0.80899,0.52095,1.22356,0.94351,0.95696,0.97763,0.63752,1.07932,0.50181,1.17076,0.00017378,0.00017378,0.00017378
112,5706.51,0.8227,0.53904,1.22696,0.9423,0.95095,0.97797,0.6414,1.05444,0.49144,1.16452,0.000166149,0.000166149,0.000166149
113,5756.86,0.81889,0.54246,1.22743,0.94208,0.94717,0.97354,0.6559,1.05218,0.46799,1.18527,0.000158667,0.000158667,0.000158667
114,5807.43,0.79184,0.50403,1.20821,0.95067,0.92911,0.96968,0.6538,1.04498,0.4743,1.18048,0.000151336,0.000151336,0.000151336
115,5858.12,0.80064,0.52688,1.22673,0.95711,0.91646,0.95511,0.63473,1.07803,0.50784,1.21459,0.000144161,0.000144161,0.000144161
116,5908.75,0.79126,0.49947,1.20138,0.9521,0.93418,0.96994,0.66107,1.01092,0.47722,1.15553,0.000137143,0.000137143,0.000137143
117,5959.27,0.78321,0.49688,1.18387,0.96801,0.91927,0.9699,0.61845,1.1171,0.48716,1.23749,0.000130287,0.000130287,0.000130287
118,6009.94,0.81142,0.5168,1.20657,0.97218,0.92911,0.97212,0.65329,1.05119,0.46567,1.20436,0.000123596,0.000123596,0.000123596
119,6060.47,0.78814,0.50954,1.20379,0.95711,0.92152,0.97158,0.66091,1.02009,0.48219,1.16386,0.000117072,0.000117072,0.000117072
120,6110.76,0.78735,0.50093,1.19961,0.96186,0.93671,0.97585,0.67159,0.98707,0.46379,1.12991,0.000110718,0.000110718,0.000110718
121,6161.5,0.80399,0.49898,1.22062,0.96615,0.93927,0.96837,0.65381,1.02268,0.48647,1.14897,0.000104537,0.000104537,0.000104537
122,6212.22,0.79606,0.4928,1.19379,0.94334,0.92737,0.95973,0.65104,1.0092,0.48352,1.14404,9.85311e-05,9.85311e-05,9.85311e-05
123,6262.92,0.79811,0.50897,1.20085,0.96339,0.93267,0.97088,0.65543,1.01719,0.4725,1.1534,9.2704e-05,9.2704e-05,9.2704e-05
124,6313.79,0.77951,0.48044,1.18867,0.96302,0.93418,0.98003,0.6616,1.01143,0.45289,1.15108,8.70577e-05,8.70577e-05,8.70577e-05
125,6364.62,0.79522,0.51476,1.21405,0.9584,0.93316,0.97845,0.66198,1.01526,0.46489,1.1633,8.15947e-05,8.15947e-05,8.15947e-05
126,6415.18,0.78126,0.48911,1.20194,0.94367,0.93309,0.96197,0.62953,1.09297,0.49931,1.20986,7.63174e-05,7.63174e-05,7.63174e-05
127,6465.79,0.7826,0.49309,1.20366,0.95184,0.94177,0.96878,0.64552,1.03993,0.49766,1.17601,7.12282e-05,7.12282e-05,7.12282e-05
128,6516.42,0.74155,0.46989,1.16732,0.95327,0.92956,0.96955,0.64957,1.04087,0.48437,1.18551,6.63292e-05,6.63292e-05,6.63292e-05
129,6566.99,0.75329,0.47496,1.17357,0.95293,0.9225,0.96887,0.64937,1.05117,0.48165,1.18499,6.16227e-05,6.16227e-05,6.16227e-05
